iter	Passed	Remaining
0	65	65182
1	125	62409
2	188	62699
3	254	63449
4	319	63643
5	381	63260
6	442	62750
7	504	62561
8	566	62330
9	630	62414
10	694	62437
11	759	62567
12	823	62486
13	885	62341
14	949	62359
15	1014	62420
16	1078	62391
17	1141	62284
18	1203	62134
19	1268	62180
20	1331	62091
21	1393	61951
22	1460	62048
23	1521	61877
24	1583	61745
25	1645	61637
26	1709	61593
27	1773	61570
28	1843	61734
29	1912	61848
30	1979	61861
31	2040	61718
32	2103	61636
33	2170	61658
34	2234	61620
35	2298	61556
36	2362	61484
37	2425	61395
38	2490	61357
39	2555	61333
40	2616	61200
41	2679	61116
42	2744	61081
43	2812	61098
44	2886	61262
45	2956	61313
46	3028	61399
47	3099	61476
48	3171	61560
49	3241	61597
50	3310	61596
51	3379	61610
52	3450	61657
53	3521	61685
54	3591	61708
55	3662	61740
56	3733	61759
57	3804	61788
58	3876	61820
59	3944	61802
60	4016	61823
61	4087	61835
62	4158	61848
63	4229	61853
64	4299	61849
65	4371	61858
66	4439	61816
67	4512	61841
68	4587	61894
69	4661	61936
70	4733	61940
71	4806	61950
72	4875	61915
73	4945	61881
74	5015	61857
75	5084	61812
76	5154	61788
77	5225	61763
78	5292	61703
79	5362	61672
80	5437	61693
81	5505	61634
82	5577	61618
83	5649	61604
84	5720	61584
85	5791	61553
86	5860	61504
87	5930	61461
88	6001	61428
89	6075	61432
90	6146	61400
91	6217	61367
92	6286	61315
93	6359	61297
94	6434	61296
95	6507	61282
96	6582	61281
97	6653	61240
98	6722	61179
99	6790	61112
100	6862	61082
101	6930	61015
102	6999	60959
103	7067	60887
104	7137	60839
105	7205	60770
106	7278	60742
107	7348	60694
108	7419	60649
109	7491	60609
110	7564	60584
111	7634	60534
112	7705	60483
113	7774	60420
114	7843	60357
115	7907	60260
116	7969	60149
117	8032	60039
118	8098	59954
119	8162	59860
120	8229	59781
121	8292	59677
122	8362	59622
123	8423	59508
124	8484	59392
125	8550	59314
126	8615	59219
127	8680	59135
128	8741	59024
129	8811	58970
130	8877	58892
131	8942	58804
132	9009	58729
133	9072	58634
134	9137	58549
135	9203	58468
136	9268	58387
137	9330	58284
138	9395	58195
139	9458	58102
140	9524	58024
141	9588	57938
142	9654	57859
143	9721	57790
144	9792	57743
145	9863	57692
146	9932	57635
147	10003	57585
148	10075	57546
149	10146	57496
150	10215	57435
151	10286	57387
152	10357	57339
153	10428	57291
154	10499	57239
155	10568	57179
156	10640	57135
157	10710	57076
158	10782	57031
159	10854	56988
160	10926	56938
161	10995	56876
162	11067	56828
163	11135	56766
164	11206	56712
165	11275	56649
166	11345	56589
167	11414	56527
168	11487	56487
169	11555	56420
170	11625	56359
171	11695	56303
172	11768	56258
173	11843	56221
174	11910	56147
175	11978	56080
176	12045	56006
177	12107	55912
178	12173	55835
179	12238	55753
180	12306	55684
181	12374	55616
182	12434	55514
183	12498	55426
184	12565	55356
185	12627	55263
186	12690	55174
187	12757	55103
188	12821	55016
189	12884	54929
190	12950	54852
191	13016	54777
192	13084	54712
193	13153	54647
194	13223	54591
195	13285	54495
196	13346	54403
197	13407	54306
198	13473	54230
199	13535	54140
200	13599	54060
201	13665	53984
202	13729	53902
203	13792	53819
204	13855	53733
205	13918	53647
206	13980	53558
207	14044	53476
208	14112	53412
209	14180	53344
210	14246	53271
211	14316	53215
212	14383	53145
213	14450	53076
214	14519	53011
215	14586	52943
216	14654	52876
217	14726	52825
218	14797	52772
219	14866	52710
220	14934	52643
221	15004	52584
222	15074	52525
223	15142	52459
224	15211	52393
225	15279	52327
226	15348	52267
227	15417	52204
228	15490	52153
229	15559	52090
230	15629	52031
231	15698	51966
232	15766	51901
233	15838	51845
234	15906	51782
235	15975	51718
236	16047	51662
237	16118	51605
238	16181	51525
239	16249	51457
240	16318	51391
241	16385	51322
242	16453	51257
243	16523	51194
244	16594	51138
245	16666	51083
246	16737	51025
247	16809	50972
248	16880	50911
249	16953	50861
250	17024	50801
251	17094	50739
252	17165	50681
253	17237	50627
254	17307	50564
255	17376	50499
256	17445	50435
257	17515	50373
258	17587	50317
259	17657	50256
260	17727	50194
261	17800	50139
262	17874	50089
263	17944	50027
264	18014	49965
265	18086	49906
266	18159	49854
267	18229	49792
268	18303	49739
269	18376	49684
270	18450	49632
271	18521	49573
272	18596	49521
273	18669	49468
274	18742	49412
275	18815	49356
276	18887	49297
277	18959	49239
278	19031	49183
279	19103	49123
280	19176	49066
281	19245	49001
282	19315	48936
283	19385	48872
284	19457	48814
285	19527	48751
286	19599	48690
287	19668	48624
288	19739	48564
289	19814	48510
290	19885	48449
291	19956	48387
292	20029	48331
293	20104	48277
294	20178	48223
295	20249	48162
296	20320	48099
297	20389	48032
298	20458	47964
299	20526	47895
300	20593	47824
301	20662	47755
302	20730	47686
303	20800	47622
304	20870	47556
305	20939	47489
306	21007	47420
307	21076	47353
308	21146	47287
309	21215	47222
310	21283	47153
311	21351	47083
312	21422	47019
313	21491	46951
314	21558	46881
315	21627	46813
316	21695	46744
317	21764	46678
318	21836	46615
319	21908	46554
320	21977	46487
321	22045	46418
322	22115	46353
323	22183	46284
324	22251	46214
325	22323	46153
326	22392	46085
327	22461	46019
328	22532	45956
329	22601	45887
330	22671	45822
331	22739	45753
332	22812	45693
333	22882	45627
334	22950	45558
335	23018	45488
336	23089	45424
337	23157	45355
338	23225	45286
339	23294	45218
340	23363	45151
341	23433	45084
342	23504	45021
343	23573	44954
344	23641	44884
345	23710	44816
346	23781	44753
347	23852	44688
348	23922	44623
349	23991	44554
350	24059	44486
351	24127	44416
352	24197	44351
353	24270	44290
354	24341	44226
355	24410	44157
356	24479	44090
357	24546	44019
358	24616	43953
359	24684	43883
360	24757	43822
361	24825	43753
362	24895	43687
363	24965	43620
364	25034	43553
365	25103	43485
366	25172	43417
367	25240	43348
368	25310	43281
369	25384	43221
370	25454	43156
371	25525	43092
372	25594	43023
373	25664	42956
374	25732	42888
375	25804	42823
376	25876	42760
377	25946	42695
378	26019	42632
379	26091	42570
380	26159	42501
381	26231	42437
382	26301	42370
383	26373	42306
384	26443	42240
385	26514	42175
386	26588	42115
387	26658	42048
388	26727	41981
389	26798	41916
390	26870	41851
391	26941	41786
392	27009	41717
393	27079	41650
394	27149	41584
395	27219	41515
396	27290	41450
397	27358	41381
398	27430	41317
399	27500	41250
400	27573	41188
401	27644	41123
402	27713	41054
403	27782	40985
404	27856	40924
405	27927	40859
406	28002	40799
407	28074	40736
408	28144	40669
409	28215	40602
410	28286	40536
411	28355	40468
412	28431	40409
413	28501	40343
414	28573	40278
415	28644	40211
416	28719	40151
417	28791	40087
418	28862	40022
419	28934	39956
420	29003	39887
421	29071	39817
422	29140	39749
423	29208	39678
424	29276	39609
425	29346	39542
426	29418	39477
427	29488	39409
428	29562	39347
429	29632	39279
430	29702	39213
431	29771	39143
432	29844	39080
433	29913	39012
434	29988	38950
435	30056	38880
436	30125	38811
437	30196	38745
438	30268	38680
439	30336	38610
440	30409	38546
441	30480	38479
442	30549	38410
443	30617	38341
444	30689	38275
445	30757	38205
446	30826	38136
447	30899	38073
448	30973	38009
449	31046	37945
450	31116	37877
451	31186	37809
452	31256	37742
453	31324	37672
454	31396	37607
455	31469	37542
456	31539	37474
457	31609	37407
458	31679	37339
459	31750	37272
460	31820	37204
461	31891	37137
462	31965	37074
463	32036	37007
464	32105	36938
465	32177	36873
466	32247	36805
467	32318	36737
468	32388	36670
469	32460	36604
470	32530	36536
471	32600	36468
472	32670	36400
473	32739	36331
474	32810	36264
475	32881	36196
476	32952	36130
477	33022	36062
478	33092	35994
479	33163	35927
480	33235	35860
481	33307	35795
482	33376	35725
483	33446	35657
484	33515	35588
485	33583	35518
486	33654	35451
487	33725	35384
488	33795	35315
489	33866	35248
490	33934	35178
491	34003	35109
492	34071	35039
493	34138	34968
494	34211	34902
495	34281	34834
496	34349	34764
497	34417	34694
498	34484	34622
499	34554	34554
500	34622	34484
501	34691	34414
502	34761	34346
503	34832	34279
504	34902	34211
505	34974	34144
506	35043	34076
507	35111	34006
508	35179	33935
509	35249	33866
510	35317	33797
511	35389	33730
512	35462	33665
513	35532	33596
514	35604	33530
515	35673	33461
516	35742	33391
517	35810	33321
518	35881	33253
519	35952	33187
520	36024	33120
521	36092	33050
522	36162	32981
523	36233	32914
524	36304	32846
525	36377	32781
526	36446	32711
527	36516	32643
528	36586	32575
529	36654	32504
530	36724	32436
531	36794	32368
532	36866	32301
533	36936	32233
534	37005	32163
535	37079	32098
536	37152	32032
537	37225	31966
538	37293	31896
539	37364	31829
540	37433	31759
541	37502	31690
542	37570	31619
543	37641	31552
544	37713	31485
545	37787	31419
546	37857	31352
547	37927	31283
548	38000	31216
549	38070	31148
550	38143	31082
551	38215	31015
552	38286	30947
553	38356	30878
554	38426	30810
555	38497	30742
556	38567	30673
557	38640	30608
558	38710	30539
559	38780	30470
560	38853	30403
561	38923	30335
562	38995	30268
563	39066	30200
564	39137	30132
565	39208	30064
566	39279	29996
567	39348	29927
568	39417	29857
569	39486	29788
570	39557	29720
571	39628	29652
572	39697	29582
573	39765	29512
574	39834	29443
575	39905	29374
576	39975	29305
577	40045	29237
578	40115	29168
579	40184	29099
580	40254	29030
581	40323	28960
582	40391	28890
583	40460	28821
584	40529	28751
585	40602	28684
586	40669	28614
587	40739	28545
588	40810	28477
589	40880	28408
590	40951	28340
591	41021	28271
592	41091	28203
593	41166	28137
594	41237	28069
595	41305	27999
596	41373	27928
597	41443	27859
598	41512	27790
599	41582	27721
600	41650	27651
601	41719	27582
602	41792	27515
603	41863	27446
604	41937	27380
605	42008	27312
606	42077	27242
607	42147	27173
608	42220	27106
609	42289	27037
610	42358	26968
611	42427	26898
612	42496	26829
613	42568	26761
614	42638	26692
615	42709	26624
616	42778	26554
617	42846	26484
618	42916	26415
619	42987	26347
620	43062	26280
621	43132	26212
622	43204	26144
623	43276	26076
624	43343	26006
625	43413	25937
626	43483	25868
627	43553	25799
628	43623	25730
629	43697	25663
630	43767	25594
631	43836	25525
632	43911	25458
633	43986	25392
634	44059	25325
635	44131	25257
636	44204	25190
637	44282	25125
638	44353	25057
639	44427	24990
640	44521	24934
641	44591	24865
642	44666	24799
643	44739	24731
644	44811	24663
645	44883	24595
646	44956	24528
647	45028	24459
648	45098	24390
649	45169	24321
650	45237	24251
651	45308	24183
652	45377	24113
653	45447	24044
654	45516	23974
655	45584	23904
656	45655	23835
657	45725	23766
658	45794	23696
