iter	MultiClass
0	2.354997701
1	2.319882039
2	2.290800446
3	2.268779931
4	2.244728686
5	2.226821041
6	2.209925278
7	2.192980462
8	2.180114115
9	2.165744525
10	2.149600178
11	2.134313421
12	2.12196008
13	2.113696583
14	2.105609725
15	2.096985883
16	2.086618
17	2.076472641
18	2.070940561
19	2.064298232
20	2.057531581
21	2.052228593
22	2.047369984
23	2.041670685
24	2.038818955
25	2.032418837
26	2.028565971
27	2.026405118
28	2.019005166
29	2.015826821
30	2.009726256
31	2.006088645
32	2.004110389
33	1.998182048
34	1.995177388
35	1.991190343
36	1.988573678
37	1.985438927
38	1.980529026
39	1.972220169
40	1.966842197
41	1.962902885
42	1.960927017
43	1.955158556
44	1.947874543
45	1.945916385
46	1.9400498
47	1.936301699
48	1.931877026
49	1.928361595
50	1.92482001
51	1.922218174
52	1.917408736
53	1.911436258
54	1.908623079
55	1.906424989
56	1.901560546
57	1.899540962
58	1.895414904
59	1.890485026
60	1.887157087
61	1.885900201
62	1.879261427
63	1.872925864
64	1.871532235
65	1.866285197
66	1.863198153
67	1.861448279
68	1.858557159
69	1.8554299
70	1.849988691
71	1.846679885
72	1.842954126
73	1.838861332
74	1.835515842
75	1.831676121
76	1.828054357
77	1.826095221
78	1.823082258
79	1.821496974
80	1.817822465
81	1.812750399
82	1.810848592
83	1.809605727
84	1.807011162
85	1.802727054
86	1.800322159
87	1.798158721
88	1.796080884
89	1.7919065
90	1.788174059
91	1.785480304
92	1.782451192
93	1.77812997
94	1.775197623
95	1.771431924
96	1.768605976
97	1.766688966
98	1.765159251
99	1.76249476
100	1.760015833
101	1.756042956
102	1.752180902
103	1.74921285
104	1.748133246
105	1.746022198
106	1.739967584
107	1.733973575
108	1.731892704
109	1.73040374
110	1.726219303
111	1.725292405
112	1.721397358
113	1.718989537
114	1.714984597
115	1.711054991
116	1.707283393
117	1.703561606
118	1.697736864
119	1.693363073
120	1.691202599
121	1.687550209
122	1.686524885
123	1.68412206
124	1.681713195
125	1.676466717
126	1.673559396
127	1.671090944
128	1.670333595
129	1.66619257
130	1.664366103
131	1.660027964
132	1.657247362
133	1.654216127
134	1.650582798
